season,driver_name,races,wins,podiums,dnfs,total_points,win_rate,podium_rate,dnf_rate,consistency_score
2018,Brendon Hartley,21,0,0,7,4.0,0.0,0.0,0.3333333333333333,-0.333
2018,Carlos Sainz,21,0,0,2,53.0,0.0,0.0,0.09523809523809523,-0.095
2018,Charles Leclerc,21,0,0,6,39.0,0.0,0.0,0.2857142857142857,-0.286
2018,Daniel Ricciardo,21,2,2,8,170.0,0.09523809523809523,0.09523809523809523,0.38095238095238093,-0.286
2018,Esteban Ocon,21,0,0,6,49.0,0.0,0.0,0.2857142857142857,-0.286
2018,Fernando Alonso,21,0,0,8,50.0,0.0,0.0,0.38095238095238093,-0.381
2018,Kevin Magnussen,21,0,0,3,56.0,0.0,0.0,0.14285714285714285,-0.143
2018,Kimi Räikkönen,21,1,12,4,251.0,0.047619047619047616,0.5714285714285714,0.19047619047619047,0.381
2018,Lance Stroll,21,0,0,3,6.0,0.0,0.0,0.14285714285714285,-0.143
2018,Lewis Hamilton,21,11,17,1,408.0,0.5238095238095238,0.8095238095238095,0.047619047619047616,0.762
2018,Marcus Ericsson,21,0,0,4,9.0,0.0,0.0,0.19047619047619047,-0.19
2018,Max Verstappen,21,2,11,4,249.0,0.09523809523809523,0.5238095238095238,0.19047619047619047,0.333
2018,Nico Hülkenberg,21,0,0,7,69.0,0.0,0.0,0.3333333333333333,-0.333
2018,Pierre Gasly,21,0,0,5,29.0,0.0,0.0,0.23809523809523808,-0.238
2018,Romain Grosjean,21,0,0,6,37.0,0.0,0.0,0.2857142857142857,-0.286
2018,Sebastian Vettel,21,5,12,1,320.0,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.524
2018,Sergey Sirotkin,21,0,0,3,1.0,0.0,0.0,0.14285714285714285,-0.143
2018,Sergio Pérez,21,0,1,2,62.0,0.0,0.047619047619047616,0.09523809523809523,-0.048
2018,Stoffel Vandoorne,21,0,0,3,12.0,0.0,0.0,0.14285714285714285,-0.143
2018,Valtteri Bottas,21,0,8,2,247.0,0.0,0.38095238095238093,0.09523809523809523,0.286
2019,Alexander Albon,21,0,0,1,92.0,0.0,0.0,0.047619047619047616,-0.048
2019,Antonio Giovinazzi,21,0,0,2,14.0,0.0,0.0,0.09523809523809523,-0.095
