season,position,constructor,nationality,points,wins
2018,1,Mercedes,German,655.0,11
2018,2,Ferrari,Italian,571.0,6
2018,3,Red Bull,Austrian,419.0,4
2018,4,Renault,French,122.0,0
2018,5,Force India,Indian,111.0,0
2018,6,Haas F1 Team,American,93.0,0
2018,7,McLaren,British,62.0,0
2018,8,Sauber,Swiss,48.0,0
2018,9,Toro Rosso,Italian,33.0,0
2018,10,Williams,British,7.0,0
2019,1,Mercedes,German,739.0,15
2019,2,Ferrari,Italian,504.0,3
2019,3,Red Bull,Austrian,417.0,3
2019,4,McLaren,British,145.0,0
2019,5,Renault,French,91.0,0
2019,6,Toro Rosso,Italian,85.0,0
2019,7,Racing Point,British,73.0,0
2019,8,Alfa Romeo,Swiss,57.0,0
2019,9,Haas F1 Team,American,28.0,0
2019,10,Williams,British,1.0,0
2020,1,Mercedes,German,573.0,13
2020,2,Red Bull,Austrian,319.0,2
2020,3,McLaren,British,202.0,0
2020,4,Racing Point,British,195.0,1
2020,5,Renault,French,181.0,0
2020,6,Ferrari,Italian,131.0,0
2020,7,AlphaTauri,Italian,107.0,1
2020,8,Alfa Romeo,Swiss,8.0,0
2020,9,Haas F1 Team,American,3.0,0
2020,10,Williams,British,0.0,0
2021,1,Mercedes,German,613.5,9
2021,2,Red Bull,Austrian,585.5,11
2021,3,Ferrari,Italian,323.5,0
2021,4,McLaren,British,275.0,1
2021,5,Alpine F1 Team,French,155.0,1
2021,6,AlphaTauri,Italian,142.0,0
2021,7,Aston Martin,British,77.0,0
2021,8,Williams,British,23.0,0
2021,9,Alfa Romeo,Swiss,13.0,0
2021,10,Haas F1 Team,American,0.0,0
2022,1,Red Bull,Austrian,759.0,17
2022,2,Ferrari,Italian,554.0,4
2022,3,Mercedes,German,515.0,1
2022,4,Alpine F1 Team,French,173.0,0
2022,5,McLaren,British,159.0,0
2022,6,Alfa Romeo,Swiss,55.0,0
2022,7,Aston Martin,British,55.0,0
2022,8,Haas F1 Team,American,37.0,0
2022,9,AlphaTauri,Italian,35.0,0
2022,10,Williams,British,8.0,0
2023,1,Red Bull,Austrian,860.0,21
2023,2,Mercedes,German,409.0,0
2023,3,Ferrari,Italian,406.0,1
2023,4,McLaren,British,302.0,0
2023,5,Aston Martin,British,280.0,0
2023,6,Alpine F1 Team,French,120.0,0
2023,7,Williams,British,28.0,0
2023,8,AlphaTauri,Italian,25.0,0
2023,9,Alfa Romeo,Swiss,16.0,0
2023,10,Haas F1 Team,American,12.0,0
2024,1,McLaren,British,666.0,6
2024,2,Ferrari,Italian,652.0,5
2024,3,Red Bull,Austrian,589.0,9
2024,4,Mercedes,German,468.0,4
2024,5,Aston Martin,British,94.0,0
2024,6,Alpine F1 Team,French,65.0,0
2024,7,Haas F1 Team,American,58.0,0
2024,8,RB F1 Team,Italian,46.0,0
2024,9,Williams,British,17.0,0
2024,10,Sauber,Swiss,4.0,0
